db_id	engine	sequence_type	remote_path	version	source	checksum_status	license_class	build_required	search_template	retention_policy	backup_policy	priority	run_gate	bootstrap_strategy	cost_class	prep_roi	notes
blast_swissprot	blast	protein	/workspace/genecluster/db-cache/swissprot/swissprot	2025_03	public_uniprot	remote_pending	open-data-with-terms	true	blastp -db swissprot	runpod_volume_persistent	external_backup_optional	required	candidate_search	provider_blast_db_download	small	high	SwissProt blastp; activated for candidate-search and full campaigns.
diamond_swissprot	diamond	protein	/workspace/genecluster/db-cache/swissprot/swissprot.dmnd	2025_03	public_uniprot	remote_pending	open-data-with-terms	true	diamond blastp -d swissprot	runpod_volume_persistent	external_backup_optional	required	candidate_search	provider_diamond_db_build	small	high	SwissProt diamond index; fast homology screening.
hmmer_pfam	hmmer	domain	/workspace/genecluster/db-cache/pfam/Pfam-A.hmm	37.0	public_pfam	remote_pending	open-data-with-terms	true	hmmscan --domtblout	runpod_volume_persistent	external_backup_optional	required	candidate_search	provider_pfam_download	small	high	Pfam-A hmmscan; required for domain calls.
mmseqs_swissprot	mmseqs	protein	/workspace/genecluster/db-cache/swissprot/swissprot.mmseqs	2025_03	public_uniprot	remote_pending	open-data-with-terms	true	mmseqs easy-search	runpod_volume_persistent	external_backup_optional	required	candidate_search	provider_mmseqs_db_build	medium	high	SwissProt mmseqs2 profile for iterative search.
diamond_refseq_plant	diamond	protein	/workspace/genecluster/db-cache/refseq/refseq_plant.dmnd	2025_q1	public_ncbi	remote_pending	open-data-with-terms	true	diamond blastp -d refseq_plant	runpod_volume_persistent	external_backup_optional	required	full_campaign	provider_refseq_plant_download	medium	high	NCBI RefSeq plant proteome; full-campaign high-ROI lane.
mmseqs_cdd	mmseqs	domain	/workspace/genecluster/db-cache/cdd/cdd.mmseqs	2025_q1	public_ncbi	remote_pending	open-data-with-terms	true	mmseqs easy-search	runpod_volume_persistent	external_backup_optional	optional	full_campaign	provider_cdd_download	small	high	NCBI Conserved Domain Database; mmseqs profile.
mibig_4_proteins	blast	protein	/workspace/genecluster/db-cache/mibig/mibig_proteins.faa	4.0	public_mibig	remote_pending	open-data-with-terms	true	blastp -db mibig	runpod_volume_persistent	external_backup_optional	optional	full_campaign	provider_mibig_download	small	medium	MIBiG BGC reference; full-campaign lane.
kegg_orth	blast	protein	/workspace/genecluster/db-cache/kegg/kegg_orth.faa	112.0	academic_kegg	remote_pending	account-or-api-terms	true	blastp -db kegg_orth	runpod_volume_persistent	external_backup_optional	optional	full_campaign	provider_kegg_subset_download	medium	medium	KEGG orthology for pathway mapping.
p450rdb	blast	protein	/workspace/genecluster/db-cache/p450rdb/p450rdb.faa	2024_q3	public_p450hub	remote_pending	open-data-with-terms	true	blastp -db p450rdb	runpod_volume_persistent	external_backup_optional	optional	full_campaign	provider_p450rdb_download	small	medium	P450Rdb reference.
blast_nr	blast	protein	/workspace/genecluster/db-cache/nr/nr	2025_q1	public_ncbi	remote_pending	open-data-with-terms	true	blastp -db nr	runpod_volume_persistent	external_backup_optional	optional_max	optional_max	provider_nr_download	huge	deferred	NCBI nr; deferred to optional_max scope due to cost.
interpro	interpro	domain	/workspace/genecluster/db-cache/interproscan/interproscan-data	5.69-101.0	public_interpro	remote_pending	academic-free-or-web	false	interproscan.sh	runpod_volume_persistent	external_backup_optional	optional_max	optional_max	provider_interproscan_download	large	deferred	InterProScan domain database; deferred to optional_max.
