query_id	query_name	source_organism	sequence_source	enzyme_class	pathway_role	confidence	citation	resolved_accession	sequence_type	sequence_length	checksum	family_scope	motif_requirements	negative_controls	decoy_or_broad_family_flag	expected_false_positive_risk	curation_status	last_resolved_at	notes
Q001	TYDC	Papaver somniferum; Coptis japonica	public_protein:remote_resolve	aromatic_amino_acid_decarboxylase	tyramine supply	medium	https://doi.org/10.1111/j.1365-313X.2006.02789.x	remote_resolve_required	protein_seed	remote_pending	remote_pending	aromatic_amino_acid_decarboxylase	PLP-binding decarboxylase motifs	broad_decarboxylase_decoys_required	true	medium	remote_resolve_required	2026-05-25	Pathway-entry context; broad family.
Q002	CjNCS	Coptis japonica	public_protein:remote_resolve	norcoclaurine_synthase	norcoclaurine formation	high	https://doi.org/10.1126/science.1184030	remote_resolve_required	protein_seed	remote_pending	remote_pending	PR10_like_NCS	Bet v 1 family fold; substrate pocket review	close_NCS_decoys_required	false	low	remote_resolve_required	2026-05-25	BIA pathway anchor; include with controls.
Q003	Cj6OMT	Coptis japonica	public_protein:remote_resolve	SAM_dependent_OMT	6-O-methylation toward coclaurine	high	https://doi.org/10.1007/s11103-007-9166-7	remote_resolve_required	protein_seed	remote_pending	remote_pending	SAM_OMT_class_II	SAM-binding motif; OMT clade placement	OMT_family_decoys_required	false	high	remote_resolve_required	2026-05-25	Class II OMT canonical reference.
Q004	CjCNMT	Coptis japonica	public_protein:remote_resolve	SAM_dependent_NMT	N-methylation toward N-methylcoclaurine	high	https://doi.org/10.1093/pcp/pcg035	remote_resolve_required	protein_seed	remote_pending	remote_pending	SAM_NMT	SAM-binding; NMT-specific motifs	NMT_family_decoys_required	false	medium	remote_resolve_required	2026-05-25	Coclaurine N-methyltransferase reference.
Q005	CjCYP80B2	Coptis japonica	public_protein:remote_resolve	cytochrome_P450	3'-hydroxylation	high	https://doi.org/10.1093/pcp/pcg035	remote_resolve_required	protein_seed	remote_pending	remote_pending	CYP80B	P450 heme-binding; CYP80B clade review	broad_CYP_decoys_required	true	high	remote_resolve_required	2026-05-25	Broad P450 family; rank only with clade and context.
Q006	Cj4OMT	Coptis japonica	public_protein:remote_resolve	SAM_dependent_OMT	4'-O-methylation toward reticuline	high	https://doi.org/10.1007/s11103-007-9166-7	remote_resolve_required	protein_seed	remote_pending	remote_pending	SAM_OMT_class_II	SAM-binding motif; 4'-OMT clade	OMT_family_decoys_required	false	medium	remote_resolve_required	2026-05-25	Class II 4'-OMT reference.
Q007	CjBBE	Coptis japonica	public_protein:remote_resolve	FAD_dependent_oxidase	berberine-bridge formation	high	https://doi.org/10.1074/jbc.M404856200	remote_resolve_required	protein_seed	remote_pending	remote_pending	BBE_like_FAD_oxidase	FAD-binding domain; BBE motif	BBE_family_decoys_required	false	medium	remote_resolve_required	2026-05-25	BIA branch-anchor enzyme.
Q008	CjCYP719A1	Coptis japonica	public_protein:remote_resolve	cytochrome_P450	methylenedioxy bridge formation	high	https://doi.org/10.1074/jbc.M210340200	remote_resolve_required	protein_seed	remote_pending	remote_pending	CYP719	P450 heme-binding; CYP719 clade review	broad_CYP_decoys_required	true	medium	remote_resolve_required	2026-05-25	CYP719 family; methylenedioxy bridge reference.
Q009	CjSTOX	Coptis japonica	public_protein:remote_resolve	FAD_dependent_oxidase	tetrahydroprotoberberine oxidation	high	https://doi.org/10.1007/s11103-008-9402-7	remote_resolve_required	protein_seed	remote_pending	remote_pending	BBE_like_FAD_oxidase	FAD-binding; STOX clade review	BBE_family_decoys_required	true	medium	remote_resolve_required	2026-05-25	STOX branch enzyme.
Q010	MATE_BIA_CONTEXT	Coptis chinensis	public_domain_family_seed:remote_resolve	transporter	BIA transport context	low	https://doi.org/10.1038/s41477-020-00821-w	remote_resolve_required	domain_family	remote_pending	remote_pending	MATE_transporter_context	MATE transporter domains; context only not enzyme proof	transporter_family_decoys_required	true	high	context_only	2026-05-25	Context only; not an enzyme candidate.
