pathway_id	pathway_name	species	common_name	genus	family	plant_order	best_genome_accession	genome_source	genome_level	annotation_present	rna_seq_bioprojects	tissues_covered	year_latest	key_publication_pmid	key_publication_doi	comparative_value	novelty_window	campaign_used_in	last_audit_date	notes
BIA	Benzylisoquinoline alkaloid biosynthesis	Coptis chinensis	Chinese goldthread	Coptis	Ranunculaceae	Ranunculales	GCA_015680905.1	NCBI	chromosome	yes	PRJNA662860;PRJNA649082	rhizome;root;leaf	2025			HIGH	Gold-standard BIA reference; 9 chromosomes; 40,011 proteins	public_example	2026-05-08	Canonical reference enzymes Q001/003/004/005/006 are derived from C. japonica
BIA	Benzylisoquinoline alkaloid biosynthesis	Coptis teeta	Himalayan goldthread	Coptis	Ranunculaceae	Ranunculales		NCBI	chromosome	yes	PRJNA662860	leaf;stem	2024			HIGH	Haplotype-resolved 2x9 chromosomes, Sci Data 2024		2026-05-05	Haplotype-resolved comparative anchor for Coptis genus
BIA	Benzylisoquinoline alkaloid biosynthesis	Berberis vulgaris	Common barberry	Berberis	Berberidaceae	Ranunculales	GCA_963556465.1	NCBI	chromosome	yes	PRJEB60726	leaf	2024			BASELINE	First chromosome-scale BGC mapping in any Berberidaceae	public_example	2026-05-05	14 chromosomes; Ruhsam et al. 2024 Wellcome Open Research data note
BIA	Benzylisoquinoline alkaloid biosynthesis	Berberis thunbergii	Japanese barberry	Berberis	Berberidaceae	Ranunculales	GCA_003290165.1	NCBI	scaffold	partial	PRJNA856352	leaf	2022			MED	Sister-species RNA-Seq for B. vulgaris		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Berberis koreana	Korean barberry	Berberis	Berberidaceae	Ranunculales		none		no	PRJNA705056	leaf;flower;fruit	2021	34685912		MED	Roy et al. 2021 Plants, PacBio Iso-Seq, all 6 core BIA steps		2026-05-05	No genome assembly; Iso-Seq transcriptome only
BIA	Benzylisoquinoline alkaloid biosynthesis	Berberis amurensis	Amur barberry	Berberis	Berberidaceae	Ranunculales		none		no	CRA024471	root;stem;leaf	2025			MED	2025 GSA Iso-Seq, root tissue presence		2026-05-05	GSA archive (Chinese), not NCBI
BIA	Benzylisoquinoline alkaloid biosynthesis	Phellodendron amurense	Amur cork tree	Phellodendron	Rutaceae	Sapindales	GWHGZYJ00000000.1	NGDC-GWH	chromosome	yes	PRJNA859281	root;stem;leaf	2025	39925664		HIGH	Near-T2T 2.92 Gb 39 chromosome assembly; cross-family BIA comparator	public_example	2026-05-08	Assembly hosted at NGDC GWH rather than NCBI; configure source scout accordingly
BIA	Benzylisoquinoline alkaloid biosynthesis	Tinospora sagittata		Tinospora	Menispermaceae	Ranunculales	GCA_035771175.1	NCBI	chromosome	yes	PRJNA1023480	rhizome;root;leaf;stem	2024			HIGH	First Menispermaceae chromosome genome; jatrorrhizine producer; 26 chr 2.33 Gb		2026-05-05	Third independent BIA origin for 4-way convergence analysis
BIA	Benzylisoquinoline alkaloid biosynthesis	Stephania tetrandra		Stephania	Menispermaceae	Ranunculales	GWHFIBL00000000.1	NGDC-GWH	chromosome	yes	PRJNA1088790	leaf;root;fruit;stem	2024			MED	Tetrandrine producer; chromosome-scale assembly with reported CYP80A1 cluster	public_example	2026-05-08	Assembly hosted at NGDC GWH rather than NCBI; configure source scout accordingly
BIA	Benzylisoquinoline alkaloid biosynthesis	Stephania longa		Stephania	Menispermaceae	Ranunculales		NCBI	chromosome	partial	PRJNA1088790	leaf;root;fruit;stem	2024			MED	Stephania genus second species		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Houttuynia cordata	Fish mint	Houttuynia	Saururaceae	Piperales	GWHERPH00000000	NGDC-GWH	chromosome	yes	PRJCA021011	leaf;root;flower	2025			MED	Decaploid magnoliid; BBE and CYP719 reportedly NOT detected (Nat Commun 2025); 4 sub-genomes	public_example	2026-05-08	Novel CYP80G architecture for isoboldine; explicit missing-gene story
BIA	Benzylisoquinoline alkaloid biosynthesis	Macleaya cordata	Plume poppy	Macleaya	Papaveraceae	Ranunculales	MVGT01	NCBI	scaffold	partial	PRJNA1018289	root;leaf;fruit	2024			MED	378 Mb scaffold assembly		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Papaver somniferum	Opium poppy	Papaver	Papaveraceae	Ranunculales	GCF_003573695.1	NCBI	chromosome	yes	PRJNA720042;SRA049668	root;capsule;latex;leaf	2024			MED	Sanguinarine/morphine focus rather than berberine		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Eschscholzia californica	California poppy	Eschscholzia	Papaveraceae	Ranunculales	GCA_041429995.1	NCBI	chromosome	yes		root;whole_plant	2026			MED	Near-chr N50 66 Mb; Q002 CYP80B1 reference source	public_example	2026-05-05	UniProt O64899 canonical CYP80B1 query source
BIA	Benzylisoquinoline alkaloid biosynthesis	Hydrastis canadensis	Goldenseal	Hydrastis	Ranunculaceae	Ranunculales		none		no	SRX078323	rhizome	2013			LOW	Old EST-level data only		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Sanguinaria canadensis	Bloodroot	Sanguinaria	Papaveraceae	Ranunculales		none	plastome	no					LOW	Plastome only		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Nandina domestica	Heavenly bamboo	Nandina	Berberidaceae	Ranunculales		none	plastome	no					LOW	Plastome only		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Podophyllum hexandrum	Mayapple	Podophyllum	Berberidaceae	Ranunculales		none		no					LOW	Podophyllotoxin focus, EST-level only		2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Argemone mexicana	Mexican poppy	Argemone	Papaveraceae	Ranunculales		none		no		root;flower				MED	BIA-producing relative; used per-tissue de novo assemblies as tblastn targets	public_example	2026-05-05
BIA	Benzylisoquinoline alkaloid biosynthesis	Berberis bealei	Mahonia	Berberis	Berberidaceae	Ranunculales		none		no		stem;leaf				MED	Sister-species RNA-Seq, conspecific genus (public mining attempt)	public_example	2026-05-05
MIA	Monoterpene indole alkaloid biosynthesis	Catharanthus roseus	Madagascar periwinkle	Catharanthus	Apocynaceae	Gentianales	GCA_024505715.1	NCBI	chromosome	yes	PRJNA1098712;PRJNA830709	leaf;root;flower;seedling	2026	37188960	10.1038/s41589-023-01327-0	HIGH	MIA gold-standard reference; entire upstream pathway biochemically validated; STR-TDC + SS-SGD-SGD2 + T16H2-16OMT clusters mapped (Sun 2023 v3, Li 2023 single-cell)	public_catalog_seed	2026-05-12	8 chr 572.8 Mb 37,298 PCG annotated; 627 SRA runs; croFGD 53-condition compendium; public MIA reference for route scouting and seed-query validation
MIA	Monoterpene indole alkaloid biosynthesis	Uncaria rhynchophylla	Cat's claw / Gou-teng	Uncaria	Rubiaceae	Gentianales	GCA_054643195.1	NCBI	chromosome	partial		leaf;root	2026	39511975	10.1111/pce.15257	HIGH	Public Rubiaceae sister tribe Naucleeae; corynantheine-class alkaloids; Hu 2024 T2T haploid-resolved 634 Mb 22 chr; 64 candidate MIA genes (UrTDC6, UrLAMT1/2, UrWRKY37)	public_catalog_seed	2026-05-12	619.3 Mb 22 chr (~30,200 PCG T2T); 111 SRA runs; 2024 PCE paper identifies bHLH MIA regulators; public Rubiaceae comparator for MIA route scouting
